NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05564377,"Targeted Therapy Directed by Genetic Testing in Treating Patients With Locally Advanced or Advanced Solid Tumors, The ComboMATCH Screening Trial",https://clinicaltrials.gov/study/NCT05564377,RECRUITING,Advanced Malignant Solid Neoplasm|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Locally Advanced Malignant Solid Neoplasm|Malignant Female Reproductive System Neoplasm|Metastatic HER2-Negative Breast Carcinoma|Metastatic Malignant Solid Neoplasm|Recurrent Endometrial Carcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Malignant Female Reproductive System Neoplasm|Recurrent Malignant Solid Neoplasm|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Unresectable HER2-Negative Breast Carcinoma|Unresectable Malignant Solid Neoplasm,DRUG: Alpelisib|DRUG: Binimetinib|PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|PROCEDURE: Bone Scan|PROCEDURE: Computed Tomography|PROCEDURE: Echocardiography Test|DRUG: Fluorouracil|DRUG: Fulvestrant|DRUG: Ipatasertib|DRUG: Leucovorin|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Multigated Acquisition Scan|PROCEDURE: Mutation Carrier Screening|DRUG: Neratinib Maleate|DRUG: Nilotinib Hydrochloride Monohydrate|DRUG: Olaparib|DRUG: Oxaliplatin|DRUG: Paclitaxel|DRUG: Palbociclib|BIOLOGICAL: Panitumumab|PROCEDURE: Positron Emission Tomography|DRUG: Selumetinib Sulfate|DRUG: Sotorasib,National Cancer Institute (NCI),,INTERVENTIONAL
NCT06361979,SHR-A1811 Combined With Bevacizumab in HER2-positive Breast Cancer With Brain Metastases,https://clinicaltrials.gov/study/NCT06361979,NOT_YET_RECRUITING,Breasr Cancer,DRUG: SHR-A1811|DRUG: Bevacizumab,Huihua Xiong,,INTERVENTIONAL
NCT06165419,Definitive Radiation for High-Risk Spine Metastases,https://clinicaltrials.gov/study/NCT06165419,RECRUITING,Metastatic Cancer|Metastatic Lung Cancer|Metastatic Breast Cancer|Metastatic Tumor|Metastatic Tumor of Bone|Metastatic Tumor to the Spine|Spine Metastases|Metastasis,RADIATION: SBRT to the spine,Stony Brook University,The University of Texas Health Science Center at San Antonio,INTERVENTIONAL
NCT06956690,"A Phase 1/2 Clinical Trial to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of HMBD-501 in Patients With HER3-Expressing Solid Tumors",https://clinicaltrials.gov/study/NCT06956690,RECRUITING,Melanoma (Skin)|Non Small Cell Lung Cancer|Breast Cancer,BIOLOGICAL: ENV-501,Hummingbird Bioscience,,INTERVENTIONAL
NCT06418594,Adebrelimab Plus Apatinib and Etoposide for the Treatment of HER2-Negative Breast Cancer Brain Metastasis,https://clinicaltrials.gov/study/NCT06418594,RECRUITING,HER2-negative Breast Cancer Brain Metastases,DRUG: Adebrelimab|DRUG: Apatinib|DRUG: Etoposide,Beijing 302 Hospital,,INTERVENTIONAL
NCT05595499,Fisetin to Improve Physical Function in Stage I-III Breast Cancer Survivors,https://clinicaltrials.gov/study/NCT05595499,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8,PROCEDURE: Biospecimen Collection|DRUG: Fisetin|DRUG: Placebo Administration|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,Jonsson Comprehensive Cancer Center,National Cancer Institute (NCI)|National Institute on Aging (NIA),INTERVENTIONAL
NCT06551896,Pemigatinib and Immune Checkpoint Inhibitor Treated FGFR1/2/3 Alteration Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT06551896,NOT_YET_RECRUITING,Urothelial Carcinoma|Breast Neoplasms|Lung Cancer|Gastric Cancer|Soft Tissue Sarcoma|Other Carcinoma,DRUG: Pemigatinib,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT05215106,Short-term Pre-OPerative Durvalumab (MEDI 4736) in Early Small Triple Negative Breast Cancer Patients (POP-Durva),https://clinicaltrials.gov/study/NCT05215106,RECRUITING,Early Small (cT1N0) Triple Negative Breast Cancer,DRUG: Durvalumab,"Gustave Roussy, Cancer Campus, Grand Paris",AstraZeneca,INTERVENTIONAL
NCT03412877,Administration of Autologous T-Cells Genetically Engineered to Express T-Cell Receptors Reactive Against Neoantigens in People With Metastatic Cancer,https://clinicaltrials.gov/study/NCT03412877,RECRUITING,Endocrine Tumors|Non-Small Cell Lung Cancer|Ovarian Cancer|Breast Cancer|Gastrointestinal/Genitourinary Cancers|Neuroendocrine Tumors|Multiple Myeloma,DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Aldesleukin|BIOLOGICAL: Individual Patient TCR-Transduced PBL|DRUG: Pembrolizumab (KEYTRUDA(R)),National Cancer Institute (NCI),,INTERVENTIONAL
NCT05559164,Statins for Reduction of Cardiac Toxicity in Patients Receiving HER2 Targeted,https://clinicaltrials.gov/study/NCT05559164,RECRUITING,Cardiac Toxicity|Early-stage Breast Cancer,DRUG: Lipitor 40mg Tablet,"Rutgers, The State University of New Jersey",,INTERVENTIONAL
NCT06998108,Study of BEBT-209 in Combination With Fulvestrant Versus Placebo in Combination With Fulvestrant in Patients With HR+/HER2- Locally Advanced or Metastatic Breast Cancer Who Have Progressed After Prior Endocrine Therapy,https://clinicaltrials.gov/study/NCT06998108,RECRUITING,"HR+/HER2- Locally Advanced, Metastatic Breast Cancer",DRUG: BEBT-209 capsules|DRUG: BEBT-209 Placebo capluses|DRUG: Fulvestrant Injection,BeBetter Med Inc,Chinese Academy of Medical Sciences,INTERVENTIONAL
NCT05751668,Finding an Effective Dose of GM1 to Reduce or Prevent Neuropathy (Numbness or Weakness) Due to Treatment With Paclitaxel (Phase II),https://clinicaltrials.gov/study/NCT05751668,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Chemotherapy-Induced Peripheral Neuropathy|Metastatic Breast Carcinoma,DRUG: Paclitaxel|DRUG: Monosialotetrahexosylganglioside|OTHER: Questionnaire Administration|OTHER: Quality-of-life assessment|DRUG: Placebo Administration,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT06908668,Evaluate the Efficacy and Safety of Adebrelimab Combined With Chemotherapy With or Without Radiotherapy as Neoadjuvant Treatment for HER2-Negative Locally Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06908668,NOT_YET_RECRUITING,HER2-Negative Locally Advanced Breast Cancer,DRUG: Neoadjuvant Chemotherapy Combined with Immunotherapy and Radiotherapy|DRUG: Neoadjuvant Chemotherapy Combined with Immunotherapy,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT06596122,Vitamin D Supplementation in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06596122,NOT_YET_RECRUITING,Peripheral Neuropathic Pain,DRUG: Vitamin D (Cholecalciferol ),Abdelrahman Mahmoud,,INTERVENTIONAL
NCT06827613,"A Study of Invikafusp Alfa (STAR0602), a Selective T Cell Receptor (TCR)-Targeting, Bifunctional Antibody-fusion Molecule, in Combination With Sacituzumab Govitecan in Participants With Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT06827613,RECRUITING,"Triple Negative Locally Advanced Non-resectable Breast Cancer|HR+, HER2-, Advanced Breast Cancer",DRUG: STAR0602|DRUG: Sacituzumab Govitecan (SG),"Marengo Therapeutics, Inc.",,INTERVENTIONAL
NCT04576143,Efficacy and Safety of Dose-dense Chemotherapy (ddEC-ddP) for Neoadjuvant Chemotherapy of HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT04576143,RECRUITING,HER2-negative Breast Cancer|Neoadjuvant Chemotherapy,DRUG: Epirubicin|DRUG: Cyclophosphamid|DRUG: Docetaxel|DRUG: Paclitaxel,"Second Affiliated Hospital, School of Medicine, Zhejiang University","Women's Hospital School Of Medicine Zhejiang University|Changxing People's Hospital|Zhejiang Provincial People's Hospital|Hangzhou First People's Hospital, School of Medicine, Zhejiang Universiry|Huizhou Municipal Central Hospital",INTERVENTIONAL
NCT06705127,"Radiotherapy Followed by Chemotherapy Combined With Toripalimab in Local Advanced HR-positive,HER2-negative BC.",https://clinicaltrials.gov/study/NCT06705127,RECRUITING,"HR-positive,HER2-negative Breast Cancer",DRUG: TORIPALIMAB INJECTION(JS001 )|RADIATION: Stereotactic Body Radiation Therapy (SBRT),First Affiliated Hospital of Zhejiang University,,INTERVENTIONAL
NCT06889610,A Phase II Clinical Study of Multimodal Ablation Combined With Systemic Drug Therapy for Advanced Solid Tumors.,https://clinicaltrials.gov/study/NCT06889610,RECRUITING,Triple Negative Breast Cancer Metastatic|Melanoma Metastatic|Colorectal Cancer Metastatic,COMBINATION_PRODUCT: MTT(Multimodal Tumor Thermal Therapy System)- Colorectal Cancer|COMBINATION_PRODUCT: MTT(Multimodal Tumor Thermal Therapy System)- Triple-Negative Breast Cancer|COMBINATION_PRODUCT: MTT(Multimodal Tumor Thermal Therapy System)- Melanoma,Fudan University,,INTERVENTIONAL
NCT07288359,Study of GVV858 as a Single Agent or in Combination With Endocrine Therapy in Patients With HR+/HER2- Breast Cancer and Other Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07288359,RECRUITING,Advanced HR+/HER2- Breast Cancer|Advanced CCNE1-amplified Solid Tumors|Metastatic Castration-resistant Prostate Cancer,DRUG: GVV858|DRUG: Fulvestrant|DRUG: Letrozole,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT06380660,Study of ACE-86225106 to Treat Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06380660,RECRUITING,"Solid Tumor, Adult|BRCA1 Mutation|BRCA2 Mutation|Ovarian Cancer|Breast Cancer|Prostate Cancer",DRUG: ACE-86225106 tablet,Acerand Therapeutics (Shanghai) Limited,,INTERVENTIONAL
NCT07064018,"Trial of Single Protein Encapsulated Doxorubicin, SPEDOX-6 in Advanced Malignancies",https://clinicaltrials.gov/study/NCT07064018,RECRUITING,Soft-tissue Sarcoma|Triple Negative Breast Cancer|Non-small Cell Lung Cancer|Cervical Cancer|Ovarian Cancer|KRAS Mutation-Related Tumors,DRUG: Spedox-6|DRUG: Pegfilgrastim|DRUG: Filgrastim,"University of California, Irvine",Sunstate Biosciences LLC,INTERVENTIONAL
NCT03808337,Investigating the Effectiveness of Stereotactic Body Radiotherapy (SBRT) in Addition to Standard of Care Treatment for Cancer That Has Spread Beyond the Original Site of Disease,https://clinicaltrials.gov/study/NCT03808337,RECRUITING,Triple Negative Breast Cancer|Non Small Cell Lung Cancer|Metastatic Breast Cancer|Metastatic Non-Small Cell Lung Carcinoma,RADIATION: Stereotactic Body Radiotherapy/SBRT|DRUG: Systemic Therapy/Standard of Care,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT06106529,REDucing Hot FLASHes in Women Using Endocrine Therapy.,https://clinicaltrials.gov/study/NCT06106529,RECRUITING,Breast Cancer|Hot Flash Due to Medication,DRUG: Oxybutynin|DRUG: Venlafaxine,Reinier de Graaf Groep,,INTERVENTIONAL
NCT07287995,A Study of ASP2998 Given by Itself and Given With Standard Therapies in People With Solid Tumors,https://clinicaltrials.gov/study/NCT07287995,NOT_YET_RECRUITING,Locally Advanced or Metastatic Malignant Solid Tumors,DRUG: ASP2998|DRUG: Pembrolizumab|DRUG: Enfortumab Vedotin|DRUG: Carboplatin,"Astellas Pharma Global Development, Inc.",,INTERVENTIONAL
NCT03755739,Trans-Artery/Intra-Tumor Infusion of Checkpoint Inhibitors Plus Chemodrug for Immunotherapy of Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03755739,RECRUITING,Hepatocarcinoma|Lung Cancer|Melanoma|Renal Cancer|Head and Neck Cancer|Pancreas Cancer|Ovarian Cancer|Colo-rectal Cancer|Cervical Cancer|Breast Cancer,DRUG: Checkpoint inhibitor (CPI) such as Pembrolizumab plus chemotherapy,Second Affiliated Hospital of Guangzhou Medical University,,INTERVENTIONAL
NCT04329065,"Concurrent WOKVAC Vaccination, Chemotherapy, and HER2-Targeted Monoclonal Antibody Therapy Before Surgery for the Treatment of Patients With Breast Cancer",https://clinicaltrials.gov/study/NCT04329065,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8,BIOLOGICAL: pUMVC3-IGFBP2-HER2-IGF1R Plasmid DNA Vaccine|DRUG: Paclitaxel|BIOLOGICAL: Trastuzumab|BIOLOGICAL: Pertuzumab|DRUG: Docetaxel|DRUG: Carboplatin|PROCEDURE: Ultrasound Imaging|PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection,University of Washington,United States Department of Defense,INTERVENTIONAL
NCT05760612,Adjuvant Trastuzumab Plus Neratinib in Hormone Receptor-Positive/Human Epidermal Growth Factor Receptor 2-Positive Breast Cancer After Neoadjuvant Trastuzumab Plus Pertuzumab,https://clinicaltrials.gov/study/NCT05760612,RECRUITING,Early-stage Breast Cancer|HER2-positive Breast Cancer|Adjuvant Treatment After Trastuzumab|RCB Classification 1-2|Neratini,DRUG: Trastuzumab and neratinib|DRUG: Trastuzumab and Pertuzumab,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT05904964,"Disitamab Vedotin (RC48) in Hormone Receptor Positive, HER2-low Metastatic Breast Cancer (the Rosy Trial)",https://clinicaltrials.gov/study/NCT05904964,RECRUITING,HR Positive/HER2 Low Expression Metastatic Breast Cancer,DRUG: Disitamab vedotin|OTHER: Endocrine therapy,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT06475443,Efficacy of Pyrotinib Plus Capecitabine in HER2-positive MBC With Active Brain Metastases That Have Failed ADCs,https://clinicaltrials.gov/study/NCT06475443,NOT_YET_RECRUITING,Metastatic Breast Cancer in the Brain,DRUG: pyrotinib plus capecitabine,Henan Cancer Hospital,,INTERVENTIONAL
NCT05812807,Pembrolizumab vs. Observation in People With Triple-negative Breast Cancer Who Had a Pathologic Complete Response After Chemotherapy Plus Pembrolizumab,https://clinicaltrials.gov/study/NCT05812807,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Early Stage Triple-Negative Breast Carcinoma,BIOLOGICAL: Pembrolizumab|OTHER: Patient Observation|PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|OTHER: Questionnaire Administration|OTHER: Quality-of-Life Assessment,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT06764940,A Pivotal Phase II Clinical Trial of Utidelone Injection Plus Capecitabine in HER2-negative Breast Cancer Patients With Brain Metastases,https://clinicaltrials.gov/study/NCT06764940,RECRUITING,HER2-negative Breast Cancer Patients With Brain Metastases,DRUG: Utidelone|DRUG: Utidelone in combination with capecitabine|DRUG: Utidelone in combination with capecitabine|DRUG: Utidelone in combination with capecitabine,"Biostar Pharma, Inc.",,INTERVENTIONAL
NCT06374459,Zunsemetinib in Combination With Capecitabine in Patients With Hormone Receptor-Positive and HER2-Negative Metastatic Breast Cancer With Bone Metastasis,https://clinicaltrials.gov/study/NCT06374459,RECRUITING,Hormone Receptor Positive HER-2 Negative Metastatic Breast Cancer,DRUG: Zumsemetinib|DRUG: Capecitabine|DRUG: Zoledronic acid|DRUG: Denosumab,Washington University School of Medicine,"United States Department of Defense|Aclaris Therapeutics, Inc.",INTERVENTIONAL
NCT07153965,Sacituzumab Tirumotecan Plus Tagitanlimab in Previously Treated Locally Advanced or Metastatic Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT07153965,NOT_YET_RECRUITING,Triple Negative Breast Cancer (TNBC)|PD-L1 Positive,DRUG: Sacituzumab Tirumotecan plus Tagitanlimab,Tianjin Medical University Cancer Institute and Hospital,,INTERVENTIONAL
NCT06774885,ROLE OF FOLIC ACID IN THE MANAGEMENT OF ADJUVANT ENDOCRINE THERAPY-INDUCED HOT FLASHES IN BREAST CANCER PATIENTS,https://clinicaltrials.gov/study/NCT06774885,NOT_YET_RECRUITING,THERAPY-INDUCED HOT FLASHES IN BREAST CANCER PATIENTS,DRUG: Folic Acid 1 Mg Oral Tablet|DRUG: Folic Acid 5 Mg Oral Tablet,Future University in Egypt,,INTERVENTIONAL
NCT04819243,PALbociclib Endocrine Therapy Followed by Talazo Vs. Talazoz-Atezo Study,https://clinicaltrials.gov/study/NCT04819243,RECRUITING,Premenopausal HR+/HER2- Metastatic Breast Cancer,"DRUG: Pabociclib, Endocrine(or ET + CDK4/6 inhibitors), Talazoparib, Atezolizumab|DRUG: Pabociclib, Endocrine(or ET + CDK4/6 inhibitors), Talazoparib,",Samsung Medical Center,,INTERVENTIONAL
NCT05732831,Safety and Tolerability of TNG462 in Patients With MTAP-deleted Solid Tumors,https://clinicaltrials.gov/study/NCT05732831,RECRUITING,Locally Advanced Solid Tumor,DRUG: TNG462|DRUG: Pembrolizumab,"Tango Therapeutics, Inc.",,INTERVENTIONAL
NCT06518057,Hippocampal Avoidance in Craniospinal Irradiation for the Treatment of Leptomeningeal Metastases From Breast Cancer or Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06518057,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Breast Carcinoma|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Malignant Neoplasm in the Leptomeninges|Stage IV Lung Cancer AJCC v8,PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|OTHER: Electronic Health Record Review|PROCEDURE: Lumbar Puncture|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Positron Emission Tomography|RADIATION: Proton Beam Craniospinal Irradiation|OTHER: Survey Administration|RADIATION: Volume Modulated Arc Therapy|PROCEDURE: Hippocampal-Avoidance Craniospinal Irradiation,University of Washington,,INTERVENTIONAL
NCT06224387,CTS2190 Phase I /II Clinical Study in Patients,https://clinicaltrials.gov/study/NCT06224387,RECRUITING,Solid Tumors|Pancreatic Cancer|Non-small Cell Lung Cancer|Triple-negative Breast Cancer,DRUG: CTS2190 capsules,"CytosinLab Therapeutics Co., Ltd.",,INTERVENTIONAL
NCT05059379,Medial vs. Entire Supraclavicular Lymph Node Radiation Therapy for Patients With Invasive Breast Cancer,https://clinicaltrials.gov/study/NCT05059379,RECRUITING,Breast Cancer|Radiotherapy; Complications|Effect of Radiation Therapy,RADIATION: Entire supraclavicular lymph node radiotherapy|RADIATION: Medial supraclavicular lymph node radiotherapy,Fudan University,The First Affiliated Hospital of University of Science and Technology of China|Quanzhou First Hospital|Jiangyin People's Hospital|Affiliated Hospital of Jiangnan University|Guizhou Provincial People's Hospital,INTERVENTIONAL
NCT05123482,"A Phase I/IIa Study of AZD8205 Given Alone or Combined, in Participants With Advanced/Metastatic Solid Malignancies",https://clinicaltrials.gov/study/NCT05123482,RECRUITING,Breast Cancer|Biliary Tract Carcinoma|Ovarian Cancer|Endometrial Cancer|Squamous Non-Small Cell Lung Cancer,DRUG: AZD8205|DRUG: AZD8205 and AZD2936 (Rilvegostomig)|DRUG: AZD8205 and AZD5305 (saruparib)|DRUG: AZD8205 and AZD5305 (saruparib) and AZD2936 (rilvegostomig)|DRUG: AZD8205 in combination with AZD9574|DRUG: AZD8205 in combination with AZD9574 plus rilvegostomig (AZD2936),AstraZeneca,,INTERVENTIONAL
NCT06318897,"Open-label, Single Center, Single-arm, Phase 2 Study of Neoadjuvant Pembrolizumab in Combination With Carboplatin and Paclitaxel in Patients With Stage 1 cT1b-T1cN0M0 Triple Negative Breast Cancer",https://clinicaltrials.gov/study/NCT06318897,RECRUITING,Stage 1 cT1b-T1cN0M0|Triple Negative Breast Cancer,DRUG: Carboplatin|DRUG: Paclitaxel|DRUG: Pembrolizumab|DRUG: Doxorubicin|DRUG: Cyclophosphamide,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT05187338,Triplex Checkpoint Inhibitors Therapy for Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05187338,RECRUITING,Lung Cancer|Liver Cancer|Colorectal Cancer|Pancreas Cancer|Ovary Cancer|Head and Neck Cancer|Breast Cancer|Gastric Cancer|Cervical Cancer|Esophageal Cancer|Sarcoma,DRUG: ipilimumab +pembrolizumab +durvalumab,Second Affiliated Hospital of Guangzhou Medical University,,INTERVENTIONAL
NCT06958627,"The Impact of Intelligent Patient Management Model on Medication Adherence of Pyrotinib Compared to Traditional Patient Management Model: a Prospective, Multicenter, Randomized Controlled Clinical Study",https://clinicaltrials.gov/study/NCT06958627,RECRUITING,HER2 Positive Breast Cancer|Pyrotinib Treatment,DRUG: pyrotinib,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
